MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,3,1,1,1,1,6,4,6,4,3,3,6,6,4,2,6,6,6,3,4,6,4,1.4,4.6,4.5,4.83,1,EduYes,5.579943270293026,31.135766899688434,False,1.4,4.6,4.5,4.833333333333333,-1.4592818851326592,0.5545949835331679,0.5002880802484189,0.7806374690753108
1,2,2,2,2,2,4,4,3,2,2,4,2,5,5,5,5,5,5,6,5,3,4,2.0,3.0,4.33,4.67,1,EduYes,4.17536222545088,17.433649713722126,False,2.0,3.0,4.333333333333333,4.666666666666667,-0.9259498487669132,-1.4165243927919409,0.2892872952852255,0.6259313039854563
1,3,2,2,2,5,5,4,5,4,2,4,2,2,2,5,3,5,5,3,5,5,6,2.8,4.0,3.0,4.83,1,EduYes,4.611831383409433,21.268988709000162,False,2.8,4.0,3.0,4.833333333333333,-0.21484046694591874,-0.18457478258874763,-1.3987189844203178,0.7806374690753108
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,5,5,2,1.0,1.0,1.0,3.67,0,EduNo,6.210430559085046,38.5694477292174,False,1.0,1.0,1.0,3.6666666666666665,-1.8148365760431566,-3.8804236131983276,-3.9307284039786334,-0.302305686553675
1,1,1,1,1,1,3,2,4,3,3,4,2,4,3,3,4,5,5,5,6,5,6,1.0,3.0,3.33,5.33,1,EduYes,2.8388656855587473,8.059158380642936,False,1.0,3.0,3.3333333333333335,5.333333333333333,-1.8148365760431566,-1.4165243927919409,-0.9767174144939317,1.2447559643448762
2,5,2,2,2,2,5,5,5,4,4,5,4,4,4,3,5,4,3,3,3,3,3,2.6,4.6,4.17,3.17,0,EduNo,3.296669468118862,10.8680295820271,False,2.6,4.6,4.166666666666667,3.1666666666666665,-0.39261781240116717,0.5545949835331679,0.07828651032203328,-0.7664241818232405
1,6,2,2,2,1,4,2,6,4,5,6,2,4,5,5,6,2,3,1,1,1,2,2.6,4.2,4.67,1.67,1,EduYes,6.182761179667299,38.22653580480097,False,2.6,4.2,4.666666666666667,1.6666666666666667,-0.39261781240116717,0.061815139451891245,0.7112888652116122,-2.158779667631937
2,2,2,2,3,2,5,2,5,2,3,5,5,5,4,4,5,5,4,5,5,6,3,2.2,3.4,4.67,4.67,0,EduNo,4.213523285184206,17.753778474789506,False,2.2,3.4,4.666666666666667,4.666666666666667,-0.7481725033116644,-0.9237445487106637,0.7112888652116122,0.6259313039854563
1,2,2,2,2,3,4,4,6,3,6,6,3,6,6,6,6,6,4,4,6,6,6,2.2,4.6,5.5,5.33,1,EduYes,4.414879045051668,19.49115698243633,False,2.2,4.6,5.5,5.333333333333333,-0.7481725033116644,0.5545949835331679,1.7662927900275767,1.2447559643448762
2,6,2,1,2,3,5,4,6,6,5,6,5,5,6,6,6,6,6,4,4,6,6,2.8,5.2,5.67,5.33,0,EduNo,4.579813898820687,20.97469534783114,False,2.8,5.2,5.666666666666667,5.333333333333333,-0.21484046694591874,1.2937647496550846,1.9772935749907699,1.2447559643448762
