MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,1,1,4,1,4,6,5,4,4,4,5,6,6,5,5,6,6,1,1,4,4,3,2.2,4.6,5.5,3.17,1,EduYes,6.150313292225431,37.82635359252482,False,2.2,4.6,5.5,3.1666666666666665,-0.7461202187404299,0.5683769942093575,1.7402913318562974,-0.7518935105692964
1,2,2,2,2,2,4,3,5,4,4,5,4,2,4,4,4,5,2,2,3,4,4,2.0,4.0,3.83,3.33,1,EduYes,3.3117415371828773,10.967632009102408,False,2.0,4.0,3.8333333333333335,3.3333333333333335,-0.9239709157789653,-0.13288814230810359,-0.3330055628888626,-0.5976047508460113
2,6,2,4,2,4,3,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,3.6,3.8,4.0,5.0,0,EduNo,4.331955451001904,18.765838029465108,False,3.6,3.8,4.0,5.0,0.49883466052931635,-0.3666431878139243,-0.12567587341434677,0.9452828463868375
1,2,2,2,2,2,5,5,5,2,5,6,1,4,5,5,5,5,5,2,2,5,5,2.0,4.4,4.33,4.0,1,EduYes,4.796604303861435,23.007412847822042,False,2.0,4.4,4.333333333333333,4.0,-0.9239709157789653,0.3346219487035378,0.2889835055346849,0.019550288047128148
2,4,4,4,4,4,6,5,5,5,5,6,6,6,5,5,5,6,3,4,2,2,5,4.0,5.2,5.5,3.67,0,EduNo,4.157876748524765,17.28793905592287,False,4.0,5.2,5.5,3.6666666666666665,0.8545360546063867,1.2696421307268195,1.7402913318562974,-0.28902723139944175
1,2,3,2,2,5,6,6,6,6,6,6,6,2,5,5,5,5,6,2,5,5,5,2.8,6.0,4.83,4.67,1,EduYes,5.099499553499677,26.004895696143404,False,2.8,6.0,4.833333333333333,4.666666666666667,-0.21256812762482463,2.2046623127501013,0.910972573958233,0.6367053269402679
1,2,2,2,4,4,4,2,5,5,4,4,2,2,4,5,6,5,5,5,5,2,3,2.8,4.0,3.83,4.17,1,EduYes,5.329263343185938,28.401047781025365,False,2.8,4.0,3.8333333333333335,4.166666666666667,-0.21256812762482463,-0.13288814230810359,-0.3330055628888626,0.1738390477704133
1,3,2,2,2,2,4,3,4,4,4,4,2,3,3,4,4,5,4,3,3,4,4,2.2,3.8,3.33,3.83,1,EduYes,2.298149610117529,5.28149163048335,False,2.2,3.8,3.3333333333333335,3.8333333333333335,-0.7461202187404299,-0.3666431878139243,-0.9549946313124107,-0.1347384716761566
2,3,3,2,5,6,3,2,5,5,2,5,1,1,6,6,2,1,6,1,1,1,1,3.8,3.4,3.5,1.83,0,EduNo,7.731615754437693,59.777882174269145,True,3.8,3.4,3.5,1.8333333333333333,0.6766853575678513,-0.8341532788255652,-0.7476649418378949,-1.9862035883555753
1,3,1,2,1,1,2,4,4,4,4,4,4,2,5,3,5,5,6,5,5,5,5,1.6,3.6,3.83,5.17,1,EduYes,3.920577585864726,15.370928606784881,False,1.6,3.6,3.8333333333333335,5.166666666666667,-1.2796723098560356,-0.6003982333197445,-0.3330055628888626,1.0995716061101226
1,5,5,5,5,5,3,5,3,5,3,2,5,1,2,5,5,2,2,2,2,2,2,5.0,3.8,3.33,2.0,1,EduYes,4.994831394534747,24.94834065982992,False,5.0,3.8,3.3333333333333335,2.0,1.7437895397990626,-0.3666431878139243,-0.9549946313124107,-1.8319148286322906
2,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,6,5,2,6,5,4.8,5.0,4.83,4.67,0,EduNo,4.145383372835075,17.184203307777498,False,4.8,5.0,4.833333333333333,4.666666666666667,1.5659388427605274,1.035887085220999,0.910972573958233,0.6367053269402679
1,2,2,2,4,4,5,3,2,3,4,4,6,6,6,6,6,4,5,4,3,4,4,2.8,3.4,5.67,4.0,1,EduYes,4.88153545710622,23.829388418985232,False,2.8,3.4,5.666666666666667,4.0,-0.21256812762482463,-0.8341532788255652,1.9476210213308138,0.019550288047128148
2,2,1,4,3,4,4,2,4,4,5,5,4,2,3,5,4,4,5,4,3,3,5,2.8,3.8,3.83,4.0,0,EduNo,4.615627122723764,21.304013736023258,False,2.8,3.8,3.8333333333333335,4.0,-0.21256812762482463,-0.3666431878139243,-0.3330055628888626,0.019550288047128148
1,3,5,3,4,5,4,4,4,4,5,2,4,3,5,4,6,4,4,5,3,3,4,4.0,4.2,4.0,3.83,1,EduYes,4.790821726427334,22.951972814408176,False,4.0,4.2,4.0,3.8333333333333335,0.8545360546063867,0.1008669031977171,-0.12567587341434677,-0.1347384716761566
2,4,2,2,2,4,2,5,5,1,4,6,5,5,5,6,5,4,5,6,1,5,6,2.8,3.4,5.33,4.5,0,EduNo,6.215197299637717,38.62867747342397,False,2.8,3.4,5.333333333333333,4.5,-0.21256812762482463,-0.8341532788255652,1.5329616423817811,0.4824165672169828
